,Date,Frequency
,,
1,2020-01-23,2
2,2020-01-24,0
3,2020-01-25,0
4,2020-01-26,0
5,2020-01-27,0
6,2020-01-28,0
7,2020-01-29,0
8,2020-01-30,0
9,2020-01-31,0
10,2020-02-01,0
11,2020-02-02,0
12,2020-02-03,0
13,2020-02-04,0
14,2020-02-05,0
15,2020-02-06,0
16,2020-02-07,0
17,2020-02-08,0
18,2020-02-09,0
19,2020-02-10,0
20,2020-02-11,0
21,2020-02-12,0
22,2020-02-13,0
23,2020-02-14,0
24,2020-02-15,0
25,2020-02-16,0
26,2020-02-17,0
27,2020-02-18,0
28,2020-02-19,0
29,2020-02-20,0
30,2020-02-21,1
31,2020-02-22,0
32,2020-02-23,0
33,2020-02-24,0
34,2020-02-25,1
35,2020-02-26,1
36,2020-02-27,1
37,2020-02-28,1
38,2020-02-29,1
39,2020-03-01,2
40,2020-03-02,1
41,2020-03-03,1
42,2020-03-04,2
43,2020-03-05,2
44,2020-03-06,2
45,2020-03-07,2
46,2020-03-08,4
47,2020-03-09,3
48,2020-03-10,7
49,2020-03-11,11
50,2020-03-12,24
51,2020-03-13,14
52,2020-03-14,10
53,2020-03-15,17
54,2020-03-16,22
55,2020-03-17,19
56,2020-03-18,36
57,2020-03-19,42
58,2020-03-20,57
59,2020-03-21,21
60,2020-03-22,40
61,2020-03-23,51
62,2020-03-24,54
63,2020-03-25,42
64,2020-03-26,122
65,2020-03-27,111
66,2020-03-28,47
67,2020-03-29,40
68,2020-03-30,78
69,2020-03-31,91
70,2020-04-01,105
71,2020-04-02,120
72,2020-04-03,116
73,2020-04-04,126
74,2020-04-05,74
75,2020-04-06,123
76,2020-04-07,196
77,2020-04-08,163
78,2020-04-09,174
79,2020-04-10,141
80,2020-04-11,132
81,2020-04-12,171
82,2020-04-13,265
83,2020-04-14,218
84,2020-04-15,232
85,2020-04-16,291
86,2020-04-17,361
87,2020-04-18,168
88,2020-04-19,195
89,2020-04-20,304
90,2020-04-21,207
91,2020-04-22,223
92,2020-04-23,205
93,2020-04-24,180
94,2020-04-25,138
95,2020-04-26,107
96,2020-04-27,161
97,2020-04-28,186
98,2020-04-29,166
99,2020-04-30,216
100,2020-05-01,195
101,2020-05-02,154
102,2020-05-03,148
103,2020-05-04,159
104,2020-05-05,165
105,2020-05-06,173
106,2020-05-07,127
107,2020-05-08,151
108,2020-05-09,128
109,2020-05-10,152
110,2020-05-11,106
111,2020-05-12,97
112,2020-05-13,170
113,2020-05-14,127
114,2020-05-15,138
115,2020-05-16,186
116,2020-05-17,185
117,2020-05-18,176
118,2020-05-19,184
119,2020-05-20,205
120,2020-05-21,163
121,2020-05-22,147
122,2020-05-23,175
123,2020-05-24,149
124,2020-05-25,173
125,2020-05-26,129
126,2020-05-27,157
127,2020-05-28,171
128,2020-05-29,433
129,2020-05-30,184
130,2020-05-31,124
131,2020-06-01,170
132,2020-06-02,170
133,2020-06-03,187
134,2020-06-04,146
135,2020-06-05,126
136,2020-06-06,138
137,2020-06-07,99
138,2020-06-08,101
139,2020-06-09,86
140,2020-06-10,137
141,2020-06-11,90
142,2020-06-12,82
143,2020-06-13,93
144,2020-06-14,68
145,2020-06-15,70
146,2020-06-16,88
147,2020-06-17,76
148,2020-06-18,55
149,2020-06-19,67
150,2020-06-20,57
151,2020-06-21,44
152,2020-06-22,54
153,2020-06-23,57
154,2020-06-24,70
155,2020-06-25,43
156,2020-06-26,77
157,2020-06-27,55
158,2020-06-28,58
159,2020-06-29,51
160,2020-06-30,93
161,2020-07-01,90
162,2020-07-02,57
163,2020-07-03,32
164,2020-07-04,48
165,2020-07-05,33
166,2020-07-06,31
167,2020-07-07,40
168,2020-07-08,45
169,2020-07-09,49
170,2020-07-10,37
171,2020-07-11,35
172,2020-07-12,26
173,2020-07-13,28
174,2020-07-14,33
175,2020-07-15,38
176,2020-07-16,42
177,2020-07-17,27
178,2020-07-18,38
179,2020-07-19,29
180,2020-07-20,29
181,2020-07-21,30
182,2020-07-22,18
183,2020-07-23,34
184,2020-07-24,25
185,2020-07-25,16
186,2020-07-26,13
187,2020-07-27,14
188,2020-07-28,18
189,2020-07-29,17
190,2020-07-30,18
191,2020-07-31,15
192,2020-08-01,17
193,2020-08-02,13
194,2020-08-03,21
195,2020-08-04,20
196,2020-08-05,20
197,2020-08-06,27
198,2020-08-07,22
199,2020-08-08,17
200,2020-08-09,13
201,2020-08-10,11
202,2020-08-11,18
203,2020-08-12,26
204,2020-08-13,25
205,2020-08-14,19
206,2020-08-15,21
207,2020-08-16,21
208,2020-08-17,19
209,2020-08-18,28
210,2020-08-19,31
211,2020-08-20,30
212,2020-08-21,24
213,2020-08-22,21
214,2020-08-23,34
215,2020-08-24,35
216,2020-08-25,23
217,2020-08-26,41
218,2020-08-27,44
219,2020-08-28,37
220,2020-08-29,51
221,2020-08-30,29
222,2020-08-31,36
223,2020-09-01,43
224,2020-09-02,35
225,2020-09-03,56
226,2020-09-04,41
227,2020-09-05,44
228,2020-09-06,55
229,2020-09-07,60
230,2020-09-08,62
231,2020-09-09,80
232,2020-09-10,66
233,2020-09-11,78
234,2020-09-12,108
235,2020-09-13,72
236,2020-09-14,67
237,2020-09-15,111
238,2020-09-16,95
239,2020-09-17,161
240,2020-09-18,144
241,2020-09-19,177
242,2020-09-20,141
243,2020-09-21,91
